978-3-486-57690-0,Datenbanksysteme: Eine Einfuehrung,1,6,2006,39.8,EUR
978-3-86894-012-1,Grundlagen von Datenbanken,2,3,2009,29.95,EUR
978-3-8266-1664-8,Datenbanken: Konzepte und Sprachen,3,3,2008,39.95,EUR
978-3-486-59002-9,Algorithmen: Eine Einführung,1,3,2010,79.8,EUR
